target name	accession	query name	E-value	description of target								"AAA domain, putative AbiEii toxin, Type IV TA system"				17	
WP_015502756.1	PF08845.15	SymE_toxin	1.90E-15	"Toxin SymE, type I toxin-antitoxin system"								Antibiotic biosynthesis monooxygenase					
WP_015502758.1	PF13087.12	AAA_12	6.40E-21	AAA domain								Apolipoprotein A1/A4/E domain					
WP_015502759.1	PF13353.11	Fer4_12	1.50E-24	4Fe-4S single cluster domain								"Arabinose-binding domain of AraC transcription regulator, N-term"					
WP_022579971.1	PF07724.20	AAA_2	1.70E-44	AAA domain (Cdc48 subfamily)								Arm DNA-binding domain					
WP_003451839.1	PF20628.3	Dyp_perox_C	3.40E-56	"Dyp-type peroxidase, C-terminal"								ATPase family associated with various cellular activities (AAA)					
WP_003114392.1	PF04828.21	GFA	4.20E-17	Glutathione-dependent formaldehyde-activating enzyme								Autotransporter beta-domain					
WP_016562029.1	PF07724.20	AAA_2	3.50E-44	AAA domain (Cdc48 subfamily)								B3/4 domain					
WP_016562030.1	PF13087.12	AAA_12	6.50E-20	AAA domain								Bacterial conjugation TrbI-like protein					
WP_023101180.1	PF08845.15	SymE_toxin	1.70E-15	"Toxin SymE, type I toxin-antitoxin system"								Bacterial DNA-binding protein					
WP_096216584.1	PF13683.12	rve_3	1.10E-29	Integrase core domain								Bacterial TniB protein					
WP_023101863.1	PF01026.27	TatD_DNase	1.70E-50	TatD related DNase								Bacterial-like globin					
WP_003160500.1	PF07693.20	KAP_NTPase	3.60E-47	KAP family P-loop domain								"Bacteriophage Mu, GemA protein"					
WP_016562036.1	PF03483.22	B3_4	7.10E-73	B3/4 domain								"Bacteriophage Mu, Gp27"					
WP_023086103.1	PF20628.3	Dyp_perox_C	3.40E-56	"Dyp-type peroxidase, C-terminal"								"Bacteriophage Mu, Gp36"					
WP_079279898.1	PF07724.20	AAA_2	3.50E-44	AAA domain (Cdc48 subfamily)								Beta protein					
WP_023517745.1	PF13087.12	AAA_12	6.40E-21	AAA domain								BREX protein BrxB					
WP_016263393.1	PF08845.15	SymE_toxin	1.10E-15	"Toxin SymE, type I toxin-antitoxin system"								BREX system ATP-binding protein BrxC/D					
WP_023094656.1	PF12643.12	MazG-like	7.60E-16	MazG-like family								"BRO family, N-terminal domain"					
WP_003127466.1	PF09848.15	SLFN-g3_helicase	2.10E-105	"Schlafen group 3, DNA/RNA helicase domain"								BrxA					
WP_004363348.1	PF00145.23	DNA_methylase	1.40E-54	C-5 cytosine-specific DNA methylase								BsuBI/PstI restriction endonuclease domain					
WP_004363346.1	PF13245.12	AAA_19	5.00E-03	AAA domain								C-5 cytosine-specific DNA methylase					
WP_071534163.1	PF03852.21	Vsr	8.20E-30	DNA mismatch endonuclease Vsr								C19orf12-like protein					
WP_023517750.1	PF03483.22	B3_4	7.10E-73	B3/4 domain								"CagE, TrbE, VirB family, component of type IV transporter system"					
WP_023875166.1	PF03483.22	B3_4	7.10E-73	B3/4 domain								Calcineurin-like phosphoesterase					
WP_023875168.1	PF13280.11	WYL	3.00E-12	WYL domain								"Cap4, dsDNA endonuclease domain"					
WP_023875169.1	PF12128.14	DUF3584	4.60E-129	Protein of unknown function (DUF3584)								Carbamoyltransferase C-terminus					
WP_023875172.1	PF23947.1	DUF7281	2.00E-24	Domain of unknown function (DUF7281)								CHAT domain					
WP_235205154.1	PF00176.29	SNF2-rel_dom	9.60E-20	SNF2-related domain								CobQ/CobB/MinD/ParA nucleotide binding domain					
WP_023875179.1	PF07669.17	Eco57I	1.20E-06	Eco57I restriction-modification methylase								Condensin complex protein MksE					
WP_023875180.1	PF00270.35	DEAD	1.80E-18	DEAD/DEAH box helicase								Conjugal transfer protein					
WP_023875183.1	PF03865.19	ShlB	5.10E-21	Haemolysin secretion/activation protein ShlB/FhaC/HecB								Conjugative transfer region protein TrbK					
WP_023875184.1	PF08479.16	POTRA_2	5.20E-16	"POTRA domain, ShlB-type"								Conserved hypothetical protein 2217 (DUF2460)					
WP_051429904.1	PF18676.6	MBG_2	4.10E-21	MBG domain (YGX type)								Cupin domain					
WP_079279155.1	PF05860.19	TPS	8.30E-30	TPS secretion domain								Cytochrome c					
WP_023875187.1	PF13087.12	AAA_12	6.40E-21	AAA domain								D12 class N6 adenine-specific DNA methyltransferase					
WP_003131033.1	PF07724.20	AAA_2	3.50E-44	AAA domain (Cdc48 subfamily)								dCTP deaminase-like					
WP_003116602.1	PF03483.22	B3_4	7.10E-73	B3/4 domain								DDE domain					
WP_321028314.1	PF00176.29	SNF2-rel_dom	1.00E-31	SNF2-related domain								DEAD/DEAH box helicase					
WP_023123156.1	PF10592.14	AIPR	2.60E-35	AIPR protein								description of target					
WP_024099882.1	PF01555.24	N6_N4_Mtase	9.80E-47	DNA methylase								DJ-1/PfpI family					
WP_023123158.1	PF04851.21	ResIII	2.30E-22	"Type III restriction enzyme, res subunit"								DNA methylase					
WP_023123159.1	PF03235.19	GmrSD_N	4.60E-36	"GmrSD restriction endonuclease, N-terminal domain"								DNA mismatch endonuclease Vsr					
WP_031653537.1	PF05930.18	Phage_AlpA	6.60E-21	Prophage CP4-57 regulatory protein (AlpA)								DNA recombination-mediator protein A					
WP_112207445.1	PF13683.12	rve_3	2.00E-31	Integrase core domain								DNA sulphur modification protein DndE					
WP_012613972.1	PF05973.20	Gp49	2.90E-26	Phage derived protein Gp49-like (DUF891)								DNA-sulfur modification-associated					
WP_023087213.1	PF13744.12	HTH_37	2.40E-26	Helix-turn-helix domain								DnaB-like helicase N terminal domain					
WP_023123161.1	PF06666.16	DUF1173	3.70E-31	Protein of unknown function (DUF1173)								Domain of unknown function (DUF1330)					
WP_023123164.1	PF13087.12	AAA_12	6.10E-21	AAA domain								Domain of unknown function (DUF2357)					
WP_017002303.1	PF07724.20	AAA_2	3.50E-44	AAA domain (Cdc48 subfamily)								Domain of unknown function (DUF3644)					
WP_025982342.1	PF07724.20	AAA_2	3.50E-44	AAA domain (Cdc48 subfamily)								Domain of unknown function (DUF4113)					
WP_009876672.1	PF13087.12	AAA_12	6.40E-21	AAA domain								Domain of unknown function (DUF4209)					
WP_009876674.1	PF09848.15	SLFN-g3_helicase	1.40E-106	"Schlafen group 3, DNA/RNA helicase domain"								Domain of unknown function (DUF4258)					
WP_023087226.1	PF00589.27	Phage_integrase	4.30E-14	Phage integrase family								Domain of unknown function (DUF4276)					
WP_023087225.1	PF01661.27	Macro	8.20E-15	Macro domain								Domain of unknown function (DUF4357)					
WP_023087224.1	PF14487.12	DarT	1.70E-39	"ssDNA thymidine ADP-ribosyltransferase, DarT"								Domain of unknown function (DUF4391)					
WP_023087223.1	PF04471.18	Mrr_cat	1.40E-31	Restriction endonuclease								Domain of unknown function (DUF4917)					
WP_009876675.1	PF21724.2	DUF6861	2.80E-03	Family of unknown function (DUF6861)								Domain of unknown function (DUF5623)					
WP_009876676.1	PF06067.16	DUF932	8.90E-73	Domain of unknown function (DUF932)								Domain of unknown function (DUF6957)					
WP_009876678.1	PF09588.16	YqaJ	7.50E-47	YqaJ-like viral recombinase domain								Domain of unknown function (DUF7008)					
WP_009876679.1	PF18897.5	Gp3-like	3.90E-44	Recombination directionality factor-like								Domain of unknown function (DUF7011)					
WP_023087218.1	PF01381.28	HTH_3	1.40E-13	Helix-turn-helix								Domain of unknown function (DUF7210)					
WP_009876681.1	PF14237.11	GYF_2	1.10E-11	GYF domain 2								Domain of unknown function (DUF7281)					
WP_023087214.1	PF06666.16	DUF1173	7.70E-31	Protein of unknown function (DUF1173)								Domain of unknown function (DUF7380)					
WP_023087212.1	PF01381.28	HTH_3	2.50E-06	Helix-turn-helix								Domain of unknown function (DUF7638)					
WP_025982348.1	PF00772.26	DnaB	2.40E-16	DnaB-like helicase N terminal domain								Domain of unknown function (DUF932)					
WP_049231824.1	PF03692.20	CxxCxxCC	3.90E-08	Putative zinc- or iron-chelating domain								Druantia protein DruA					
WP_023131471.1	PF00580.27	UvrD-helicase	3.00E-38	UvrD/REP helicase N-terminal domain								Dynamin-like helical domain					
WP_023087204.1	PF00593.30	TonB_dep_Rec_b-barrel	1.50E-55	"TonB dependent receptor-like, beta-barrel"								"Dyp-type peroxidase, C-terminal"					
WP_009876688.1	PF05717.18	TnpB_IS66	1.60E-26	IS66 Orf2 like protein								Eco29kI restriction endonuclease					
WP_023087201.1	PF01527.26	HTH_Tnp_1	1.90E-09	Transposase								Eco57I restriction-modification methylase					
WP_025982351.1	PF06114.19	Peptidase_M78	2.20E-05	IrrE N-terminal-like domain								EcoEI R protein C-terminal					
WP_071535077.1	PF14350.11	Beta_protein	5.80E-35	Beta protein								EH_Signature domain					
WP_023087197.1	PF18536.7	DUF5623	1.00E-11	Domain of unknown function (DUF5623)								Endonuclease domain					
WP_023087196.1	PF03483.22	B3_4	7.10E-73	B3/4 domain								Enoyl-(Acyl carrier protein) reductase					
WP_019726408.1	PF07724.20	AAA_2	3.50E-44	AAA domain (Cdc48 subfamily)								"Essential protein Yae1, N terminal"					
WP_003114396.1	PF13353.11	Fer4_12	1.90E-24	4Fe-4S single cluster domain								Extended Signal Peptide of Type V secretion system					
WP_019726409.1	PF13087.12	AAA_12	6.10E-21	AAA domain								Family of unknown function (DUF5677)					
WP_003451853.1	PF08845.15	SymE_toxin	1.10E-15	"Toxin SymE, type I toxin-antitoxin system"								Family of unknown function (DUF5797)					
WP_003116684.1	PF09848.15	SLFN-g3_helicase	8.10E-106	"Schlafen group 3, DNA/RNA helicase domain"								Family of unknown function (DUF6030)					
WP_019726412.1	PF00589.27	Phage_integrase	3.50E-19	Phage integrase family								Family of unknown function (DUF6035)					
WP_023123603.1	PF20126.4	TumE	5.00E-07	Toxin TumE								Family of unknown function (DUF6037)					
WP_124136466.1	PF12585.13	DUF3759	7.90E-03	Protein of unknown function (DUF3759)								Family of unknown function (DUF6079)					
WP_025981556.1	PF01381.28	HTH_3	1.70E-09	Helix-turn-helix								Family of unknown function (DUF6088)					
WP_019726419.1	PF07804.18	HipA_C	2.30E-39	HipA-like C-terminal domain								Family of unknown function (DUF6119)					
WP_157782685.1	PF13148.11	DUF3987	1.60E-79	Protein of unknown function (DUF3987)								Family of unknown function (DUF6216)					
WP_071535780.1	PF05930.18	Phage_AlpA	9.60E-13	Prophage CP4-57 regulatory protein (AlpA)								Family of unknown function (DUF6339)					
WP_014833970.1	PF06067.16	DUF932	4.20E-73	Domain of unknown function (DUF932)								Family of unknown function (DUF6361)					
WP_019726423.1	PF09588.16	YqaJ	2.20E-47	YqaJ-like viral recombinase domain								Family of unknown function (DUF6631)					
WP_019726424.1	PF18897.5	Gp3-like	3.70E-44	Recombination directionality factor-like								Family of unknown function (DUF6678)					
WP_019726427.1	PF01381.28	HTH_3	1.70E-12	Helix-turn-helix								Family of unknown function (DUF6861)					
WP_019726429.1	PF03797.25	Autotransporter	3.10E-58	Autotransporter beta-domain								Family of unknown function (DUF6884)					
WP_019726430.1	PF03959.19	FSH1	9.00E-05	Serine hydrolase (FSH1)								Family of unknown function (DUF7364)					
WP_023123597.1	PF13280.11	WYL	1.40E-29	WYL domain								Family of unknown function (DUF7660)					
WP_023123596.1	PF01926.29	MMR_HSR1	2.50E-12	50S ribosome-binding GTPase								"Filamentation induced by cAMP protein Fic-like, C-terminal domain"					
WP_019726433.1	PF11726.14	YagK_YfjJ_C	1.30E-40	YagK/YfjJ C-terminal domain								FRG domain					
WP_025981557.1	PF05930.18	Phage_AlpA	5.10E-21	Prophage CP4-57 regulatory protein (AlpA)								FtsK/SpoIIIE family					
WP_078464294.1	PF06508.19	QueC	3.70E-05	Queuosine biosynthesis protein QueC								GCN5-related N-acetyltransferase like domain					
WP_023123593.1	PF06114.19	Peptidase_M78	6.50E-18	IrrE N-terminal-like domain								GDP/GTP exchange factor Sec2p					
WP_023123590.1	PF19614.4	DUF6119	8.70E-120	Family of unknown function (DUF6119)								GIY-YIG catalytic domain					
WP_019726439.1	PF03235.19	GmrSD_N	1.10E-22	"GmrSD restriction endonuclease, N-terminal domain"								Global regulator protein family					
WP_019726440.1	PF19778.5	RE_endonuc	1.70E-33	Endonuclease domain								"Glutathione S-transferase, N-terminal domain"					
WP_031633267.1	PF01555.24	N6_N4_Mtase	1.80E-31	DNA methylase								Glutathione-dependent formaldehyde-activating enzyme					
WP_019726443.1	PF14335.11	DUF4391	3.30E-58	Domain of unknown function (DUF4391)								Glycine zipper					
WP_019726444.1	PF00271.37	Helicase_C	4.70E-12	Helicase conserved C-terminal domain								Glycosyl hydrolases family 16					
WP_019726445.1	PF03483.22	B3_4	7.10E-73	B3/4 domain								Glycosyl transferase family 2					
WP_023111625.1	PF03483.22	B3_4	7.10E-73	B3/4 domain								Glycosyltransferase sugar-binding region containing DXD motif					
WP_023111630.1	PF19570.5	DUF6088	4.30E-05	Family of unknown function (DUF6088)								Glyoxalase superfamily protein					
WP_023111631.1	PF08843.17	AbiEii	1.50E-33	"Nucleotidyl transferase AbiEii toxin, Type IV TA system"								"GmrSD restriction endonuclease, N-terminal domain"					
WP_023980254.1	PF01527.26	HTH_Tnp_1	1.90E-10	Transposase								GYF domain 2					
WP_023980255.1	PF05717.18	TnpB_IS66	7.60E-27	IS66 Orf2 like protein								HAD domain in Swiss Army Knife RNA repair proteins					
WP_033983075.1	PF03050.20	DDE_Tnp_IS66	9.80E-106	Transposase IS66 family								Haemolysin secretion/activation protein ShlB/FhaC/HecB					
WP_031760947.1	PF00176.29	SNF2-rel_dom	2.10E-17	SNF2-related domain								haloacid dehalogenase-like hydrolase					
WP_087920907.1	PF00665.32	rve	9.30E-29	Integrase core domain								HamA					
WP_060853143.1	PF13087.12	AAA_12	6.40E-21	AAA domain								HAS barrel domain					
WP_023116926.1	PF13353.11	Fer4_12	9.60E-25	4Fe-4S single cluster domain								Heavy-metal-associated domain					
WP_079393337.1	PF07724.20	AAA_2	3.50E-44	AAA domain (Cdc48 subfamily)								Helicase C-terminal domain					
WP_031755778.1	PF04828.21	GFA	2.00E-17	Glutathione-dependent formaldehyde-activating enzyme								Helicase conserved C-terminal domain					
WP_003162467.1	PF03483.22	B3_4	7.10E-73	B3/4 domain								"Helicase HerA, central domain"					
WP_160501267.1	PF04465.17	DUF499	1.40E-07	Protein of unknown function (DUF499)								Helix-hairpin-helix domain					
WP_160501266.1	PF13289.12	SIR2_2	1.50E-12	SIR2-like domain								Helix-turn-helix					
WP_160501265.1	PF01935.23	DUF87	1.80E-28	"Helicase HerA, central domain"								Helix-turn-helix domain					
WP_160501264.1	PF01555.24	N6_N4_Mtase	2.80E-03	DNA methylase								HipA-like C-terminal domain					
WP_160501262.1	PF00176.29	SNF2-rel_dom	5.10E-21	SNF2-related domain								"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"					
WP_160501258.1	PF00012.26	HSP70	8.70E-33	Hsp70 protein								HNH endonuclease					
WP_071534404.1	PF01850.27	PIN	6.20E-03	PIN domain								Hsp70 protein					
WP_160501257.1	PF06114.19	Peptidase_M78	5.40E-18	IrrE N-terminal-like domain								HTH-like domain					
WP_237400685.1	PF06508.19	QueC	3.70E-05	Queuosine biosynthesis protein QueC								IclR helix-turn-helix domain					
WP_079453006.1	PF05930.18	Phage_AlpA	7.80E-21	Prophage CP4-57 regulatory protein (AlpA)								impB/mucB/samB family					
WP_160501256.1	PF11726.14	YagK_YfjJ_C	3.50E-40	YagK/YfjJ C-terminal domain								Integrase core domain					
WP_160501255.1	PF04002.20	RadC	1.10E-45	RadC-like JAB domain								Iron-containing alcohol dehydrogenase					
WP_033948980.1	PF01381.28	HTH_3	1.40E-11	Helix-turn-helix								IrrE N-terminal-like domain					
WP_160501252.1	PF18897.5	Gp3-like	4.60E-46	Recombination directionality factor-like								IS66 Orf2 like protein					
WP_160501251.1	PF09588.16	YqaJ	2.80E-48	YqaJ-like viral recombinase domain								IstB-like ATP binding protein					
WP_160501250.1	PF06067.16	DUF932	9.30E-73	Domain of unknown function (DUF932)								KAP family P-loop domain					
WP_160501249.1	PF13148.11	DUF3987	7.90E-48	Protein of unknown function (DUF3987)								Large polyvalent protein-associated domain 1					
WP_244878754.1	PF05930.18	Phage_AlpA	1.60E-17	Prophage CP4-57 regulatory protein (AlpA)								"Lon-like protease BrxL-like, ATPase domain"					
WP_160501269.1	PF00589.27	Phage_integrase	1.70E-20	Phage integrase family								Luciferase-like monooxygenase					
WP_031638908.1	PF10011.15	DUF2254	1.20E-04	Predicted membrane protein (DUF2254)								Lysozyme inhibitor LprI					
WP_003162471.1	PF13208.11	TerB_N	4.70E-63	TerB N-terminal domain								LysR substrate binding domain					
WP_003162473.1	PF10923.14	BrxC_BrxD	1.30E-155	BREX system ATP-binding protein BrxC/D								Macro domain					
WP_003162475.1	PF00270.35	DEAD	9.50E-31	DEAD/DEAH box helicase								MAE_28990/MAE_18760-like HEPN					
WP_003162476.1	PF08867.16	FRG	9.30E-20	FRG domain								MarR family					
WP_088922232.1	PF00665.32	rve	3.60E-29	Integrase core domain								MazG-like family					
WP_023091216.1	PF13087.12	AAA_12	6.40E-21	AAA domain								MBG domain (YGX type)					
WP_079385705.1	PF07724.20	AAA_2	3.50E-44	AAA domain (Cdc48 subfamily)								McrBC 5-methylcytosine restriction system component					
WP_023104525.1	PF03483.22	B3_4	7.10E-73	B3/4 domain								Membrane MotB of proton-channel complex MotA/MotB					
WP_080712195.1	PF13304.12	AAA_21	5.50E-18	"AAA domain, putative AbiEii toxin, Type IV TA system"								MerR HTH family regulatory protein					
WP_080712194.1	PF01844.29	HNH	2.20E-06	HNH endonuclease								"MerR, DNA binding"					
WP_128654271.1	PF13683.12	rve_3	2.00E-31	Integrase core domain								MerT mercuric transport protein					
WP_080712208.1	PF13936.12	HTH_38	1.10E-18	Helix-turn-helix domain								Metallo-beta-lactamase superfamily					
WP_237113644.1	PF00176.29	SNF2-rel_dom	9.60E-20	SNF2-related domain								Methylase-associated X1					
WP_185834395.1	PF07669.17	Eco57I	1.10E-06	Eco57I restriction-modification methylase								Methyltransferase domain					
WP_059298443.1	PF00270.35	DEAD	1.80E-18	DEAD/DEAH box helicase								MobA-like NTP transferase domain					
WP_237113645.1	PF13289.12	SIR2_2	6.70E-16	SIR2-like domain								Molybdenum Cofactor Synthesis C					
WP_059298439.1	PF13087.12	AAA_12	6.40E-21	AAA domain								Molybdopterin cofactor-binding domain					
WP_080712193.1	PF07724.20	AAA_2	3.50E-44	AAA domain (Cdc48 subfamily)								Mor transcription activator family					
WP_024928919.1	PF07724.20	AAA_2	3.50E-44	AAA domain (Cdc48 subfamily)								MrfA Zn-binding domain					
WP_139665452.1	PF13087.12	AAA_12	6.40E-21	AAA domain								"Mu transposase, C-terminal"					
WP_180359306.1	PF15058.11	Speriolin_N	6.90E-03	Speriolin N terminus								"Mu transposase, C-terminal domain"					
WP_024928554.1	PF00176.29	SNF2-rel_dom	9.10E-21	SNF2-related domain								Mu-like prophage FluMu N-terminal domain					
WP_124172761.1	PF01555.24	N6_N4_Mtase	1.80E-03	DNA methylase								Mu-like prophage I protein					
WP_024928558.1	PF01935.23	DUF87	3.30E-28	"Helicase HerA, central domain"								Mu-like prophage major head subunit gpT					
WP_024928559.1	PF13289.12	SIR2_2	2.30E-12	SIR2-like domain								N-6 DNA Methylase					
WP_124172762.1	PF04465.17	DUF499	1.30E-07	Protein of unknown function (DUF499)								N-terminal domain of oxidoreductase					
WP_024928561.1	PF03483.22	B3_4	8.30E-73	B3/4 domain								NACHT N-terminal Helical domain 7					
WP_079743342.1	PF00176.29	SNF2-rel_dom	3.20E-33	SNF2-related domain								NAD dependent epimerase/dehydratase family					
WP_057393120.1	PF02463.25	SMC_N	2.20E-09	RecF/RecN/SMC N terminal domain								NADH:flavin oxidoreductase / NADH oxidase family					
WP_057393121.1	PF02518.31	HATPase_c	1.80E-03	"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"								NADP oxidoreductase coenzyme F420-dependent					
WP_058011614.1	PF01555.24	N6_N4_Mtase	2.40E-40	DNA methylase								NgoFVII restriction endonuclease N-terminal PLD domain					
WP_057393123.1	PF04851.21	ResIII	8.80E-23	"Type III restriction enzyme, res subunit"								Nitroreductase family					
WP_094776014.1	PF01527.26	HTH_Tnp_1	2.90E-06	Transposase								Nuclease-related domain					
WP_088171245.1	PF13683.12	rve_3	1.60E-30	Integrase core domain								Nucleoside 2-deoxyribosyltransferase					
WP_057393439.1	PF13087.12	AAA_12	9.00E-21	AAA domain								NUDIX domain					
WP_004344339.1	PF13353.11	Fer4_12	1.90E-24	4Fe-4S single cluster domain								NYN domain					
WP_003122571.1	PF07724.20	AAA_2	3.50E-44	AAA domain (Cdc48 subfamily)								Octameric membrane protein family (8xMP)					
WP_023118044.1	PF03483.22	B3_4	7.10E-73	B3/4 domain								OmpA family					
WP_079388274.1	PF13276.12	HTH_21	2.80E-14	HTH-like domain								"Overcoming lysogenization defect protein-like, TOPRIM domain"					
WP_079388275.1	PF01527.26	HTH_Tnp_1	6.50E-14	Transposase								PAAR motif					
WP_025297450.1	PF12728.13	HTH_17	6.90E-16	Helix-turn-helix domain								ParB/Sulfiredoxin domain					
WP_033944493.1	PF08849.17	BrxA	3.90E-48	BrxA								PD-(D/E)XK nuclease superfamily					
WP_199789111.1	PF08747.16	BrxB	4.60E-37	BREX protein BrxB								Pentapeptide repeats (9 copies)					
WP_033944488.1	PF07669.17	Eco57I	2.10E-21	Eco57I restriction-modification methylase								Peptidase S24-like					
WP_033944484.1	PF13476.12	AAA_23	2.70E-10	AAA domain								PglZ domain					
WP_034008512.1	PF00078.32	RVT_1	3.50E-08	Reverse transcriptase (RNA-dependent DNA polymerase)								Phage conserved hypothetical protein BR0599					
WP_033944478.1	PF03235.19	GmrSD_N	1.00E-30	"GmrSD restriction endonuclease, N-terminal domain"								Phage derived protein Gp49-like (DUF891)					
WP_033944477.1	PF08665.17	PglZ	7.40E-62	PglZ domain								Phage integrase family					
WP_033944476.1	PF13337.12	BrxL_ATPase	2.10E-129	"Lon-like protease BrxL-like, ATPase domain"								Phage tail terminator protein					
WP_033944475.1	PF00589.27	Phage_integrase	2.00E-13	Phage integrase family								Phage virion morphogenesis family					
WP_268270872.1	PF00665.32	rve	6.70E-28	Integrase core domain								phage-Barnase-EndoU-ColicinE5/D-RelE like nuclease2					
WP_033945161.1	PF13087.12	AAA_12	6.40E-21	AAA domain								Phosphoadenosine phosphosulfate reductase family					
WP_033866994.1	PF13353.11	Fer4_12	1.00E-24	4Fe-4S single cluster domain								Phosphorylase superfamily					
WP_073636974.1	PF07724.20	AAA_2	3.50E-44	AAA domain (Cdc48 subfamily)								PIN domain					
WP_025325004.1	PF13087.12	AAA_12	6.40E-21	AAA domain								Plasmid pRiA4b ORF-3-like protein					
WP_134286515.1	PF00665.32	rve	9.30E-29	Integrase core domain								PLD-like domain					
WP_025325005.1	PF03483.22	B3_4	7.10E-73	B3/4 domain								Polyketide cyclase / dehydrase and lipid transport					
WP_003451893.1	PF03483.22	B3_4	7.10E-73	B3/4 domain								Portal protein of Mu bacteriophage					
WP_014602767.1	PF13087.12	AAA_12	6.40E-21	AAA domain								"POTRA domain, ShlB-type"					
WP_014602768.1	PF13353.11	Fer4_12	1.50E-24	4Fe-4S single cluster domain								Predicted membrane protein (DUF2254)					
WP_076938913.1	PF07724.20	AAA_2	2.40E-44	AAA domain (Cdc48 subfamily)								Prokaryotic homologs of the JAB domain					
WP_016852716.1	PF03483.22	B3_4	7.10E-73	B3/4 domain								Prophage CP4-57 regulatory protein (AlpA)					
WP_009313951.1	PF14082.12	SduA_C	4.00E-21	"Shedu protein SduA, C-terminal"								"Protein adenylyltransferase SoFic-like, C-terminal domain"					
WP_003099076.1	PF21247.3	Fic-like_C	4.40E-25	"Filamentation induced by cAMP protein Fic-like, C-terminal domain"								Protein kinase domain					
WP_003460108.1	PF01797.21	Y1_Tnp	9.90E-47	Transposase IS200 like								"Protein NO VEIN, C-terminal"					
