gcf	LESGI-10	LESGI-11	LESGI-12	LESGI-13	LESGI-14	LESGI-15	LESGI-16	LESGI-17	LESGI-1	LESGI-2	LESGI-3	LESGI-4	LESGI-5	LESGI-6	LESG-I7	LESGI-8	LESGI-9	PAGI-10	PAGI-11	PAGI-1	PAGI-2	PAGI-3	PAGI-4	PAGI-6	PAGI-7	PAGI-8	PAG-I9	PAPI-1	PAPI-2
GCF_000283055.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000284555.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1
GCF_000287815.1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000287875.1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
GCF_000290555.1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000291745.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GCF_000295475.1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
GCF_000296325.1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GCF_000297275.1	0	1	0	1	0	1	0	0	0	1	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
GCF_000297295.1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000297335.1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000297355.1	0	1	1	1	1	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000341565.1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0
GCF_000342145.1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0
GCF_000359505.1	0	1	0	0	1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
GCF_000359565.1	0	1	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GCF_000404265.1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1
GCF_000407905.1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
GCF_000408865.1	0	0	1	1	0	0	1	1	0	0	0	1	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0
GCF_000412295.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0
GCF_000412355.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000412395.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
GCF_000412415.1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0
GCF_000412435.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GCF_000412455.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
GCF_000412495.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
GCF_000412555.1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0
GCF_000414035.1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0
GCF_000439855.1	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
GCF_000439875.1	0	1	1	1	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
GCF_000455405.1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
GCF_000455425.1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
GCF_000455505.1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
GCF_000455545.1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
GCF_000455705.1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
GCF_000468555.2	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GCF_000468935.2	0	1	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GCF_000478465.2	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0
GCF_000480355.1	0	1	0	0	0	1	1	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
GCF_000480375.1	0	1	1	1	0	0	1	0	0	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
GCF_000480395.1	0	1	1	1	0	0	1	1	0	1	1	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0	1	0
GCF_000480415.1	0	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0
GCF_000480435.1	0	1	1	0	1	0	1	0	0	0	0	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0
GCF_000480455.1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0
GCF_000480475.1	0	1	0	0	0	0	1	0	0	0	1	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0
GCF_000480495.1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0
GCF_000480515.1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	1	1	0	0	1	1	0	0	0	0	0	1	0
GCF_000480535.1	0	0	1	1	0	0	1	0	0	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0
GCF_000480555.1	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0
GCF_000480575.1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
GCF_000480595.1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0
GCF_000480615.1	0	1	1	1	0	0	1	0	0	0	0	1	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0
GCF_000480645.1	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GCF_000480665.1	0	1	1	0	0	0	1	1	0	1	1	1	0	1	1	0	1	1	0	1	1	1	0	1	0	0	0	1	0
GCF_000480685.1	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
GCF_000480705.1	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0
GCF_000480725.1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0
GCF_000480745.1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
GCF_000480765.1	0	1	1	0	0	1	0	1	0	0	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
GCF_000480785.1	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GCF_000480805.1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
GCF_000480825.1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
GCF_000480845.1	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GCF_000480865.1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1
GCF_000480885.1	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GCF_000480905.1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0	0	1	1
GCF_000480925.1	0	1	0	0	0	1	1	1	0	0	0	1	0	1	0	1	1	1	0	0	0	1	0	0	0	0	0	1	0
GCF_000480945.1	0	1	1	0	0	1	1	1	0	1	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0
GCF_000480965.1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1
GCF_000480985.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000481005.1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000481025.1	0	1	0	0	0	1	1	1	0	0	0	1	0	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0
GCF_000481045.1	0	0	1	1	0	0	0	1	0	1	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0
GCF_000481065.1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GCF_000481085.1	0	1	1	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GCF_000481105.1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0
GCF_000481125.1	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000481145.1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000481165.1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1
GCF_000481185.1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
GCF_000481205.1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
GCF_000481225.1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	1	0
GCF_000481245.1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0
GCF_000481265.1	0	1	0	0	0	1	1	0	1	0	1	0	0	1	0	0	0	1	1	1	1	1	0	1	0	1	1	1	0
GCF_000481285.1	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0
GCF_000481305.1	0	1	1	1	1	1	1	0	0	1	0	1	0	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0
GCF_000481325.1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0
GCF_000481345.1	0	1	1	1	1	1	0	1	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0
GCF_000481365.1	0	1	1	0	0	0	1	1	0	1	1	1	0	1	1	0	1	1	0	1	1	0	0	0	0	0	0	1	0
GCF_000481385.1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GCF_000481405.1	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0
GCF_000481425.1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0
GCF_000481445.1	0	1	1	1	0	1	1	1	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	1	0	0	1	0
GCF_000481465.1	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0
GCF_000481485.1	0	1	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0
GCF_000481505.1	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0
GCF_000481525.1	0	0	1	1	0	0	0	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000481545.1	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	1	0	0	1	1
GCF_000481565.1	0	1	1	0	0	1	1	1	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000481585.1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0
GCF_000481605.1	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	1	1	1	0	0	1	1	0	0	0	0	0	1	0
GCF_000481625.1	0	0	1	1	0	0	1	1	0	0	0	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0
GCF_000481645.1	0	1	1	0	0	0	1	1	0	1	1	1	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	1	0
GCF_000481665.1	0	1	1	0	0	0	1	0	0	1	1	1	0	1	1	1	1	1	0	0	1	0	0	0	0	0	0	1	0
GCF_000481685.1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0
GCF_000481705.1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
GCF_000481725.1	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0	1	0
GCF_000481745.1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1
GCF_000481765.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GCF_000481785.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
GCF_000481805.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
GCF_000481825.1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0
GCF_000481845.1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GCF_000481865.1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
GCF_000481885.1	0	1	1	1	0	0	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000481905.1	0	1	1	1	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GCF_000481925.1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0
GCF_000481945.1	0	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	0	0	1	0	0	0	0	0	0	1	0
GCF_000481965.1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
GCF_000481985.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
GCF_000482005.1	0	1	1	1	0	0	0	0	0	1	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000482025.1	0	1	0	0	0	0	1	1	0	0	0	1	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0
GCF_000484495.2	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GCF_000484545.2	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GCF_000496455.2	0	1	1	0	1	1	1	0	0	0	0	0	0	1	1	1	0	1	0	0	1	1	0	1	1	0	0	0	0
GCF_000496605.2	0	0	1	0	0	1	1	1	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1
GCF_000496645.1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1
GCF_000503175.1	0	1	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
GCF_000504045.1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
GCF_000504485.1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GCF_000506045.1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000506185.1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000506345.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000506365.1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000506805.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
GCF_000506885.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000508765.1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0
GCF_000510305.1	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	1	1	0	0	1	0
GCF_000520175.1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
GCF_000520195.1	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0
GCF_000520215.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
GCF_000520255.1	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GCF_000520275.1	0	1	1	1	0	0	1	0	0	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0
GCF_000520295.1	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	1	1	0	0	0	0
GCF_000520315.1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1
GCF_000520335.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GCF_000520355.1	0	1	1	1	0	1	1	1	0	0	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
GCF_000520375.1	0	1	1	0	0	1	1	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000520395.1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
GCF_000520415.1	0	1	1	1	0	0	0	1	0	1	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0
GCF_000520435.1	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
GCF_000520455.1	0	1	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GCF_000524595.1	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
GCF_000568115.1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000568215.1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	0
GCF_000583895.1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0
GCF_000583915.1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0
GCF_000583935.1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0
GCF_000583955.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0
GCF_000583975.1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0
GCF_000583995.1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0
GCF_000590905.1	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000611975.2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0
GCF_000611995.2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000626655.2	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0
GCF_000629025.1	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000629045.1	0	0	1	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000629065.1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000629085.1	0	1	0	1	0	1	0	0	0	1	1	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
GCF_000629105.1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000629125.1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
GCF_000629145.1	0	1	1	1	0	1	1	0	0	1	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000629165.1	0	1	1	0	1	0	1	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0
GCF_000629185.1	0	1	1	0	1	0	1	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0
GCF_000629205.1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000629225.1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
GCF_000629245.1	0	1	1	0	1	1	0	0	0	1	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0
GCF_000629265.1	0	1	1	1	1	0	1	0	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0
GCF_000629285.1	0	1	1	0	0	1	1	0	0	1	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
